200	110.92
201	133.35
202	151.53
203	102.37
204	193.18
205	172.21
206	32.03
207	19.8
208	133.92
209	57.22
210	190.95
211	150.24
212	8.5
213	147.48
214	144.15
215	120.29
216	155.86
217	106.26
218	182.17
219	118.19
220	25.03
221	162.73
222	142.19
223	50.84
224	111.85
225	15.95
226	93.74
227	163.08
228	67.19
229	107.43
230	16.72
231	161.61
232	151.21
233	36.59
234	188.93
235	22.66
236	21.92
237	59.65
238	75.09
239	192.25
240	146.62
241	129.94
242	130.46
243	42.23
244	126.72
245	49.26
246	186.72
247	28.41
248	155.49
249	174.9
250	158.92
251	148.26
252	151.07
253	15.87
254	114.94
255	28.52
256	11.79
257	166.46
258	90.7
259	55.66
260	34.37
261	196.76
262	93.11
263	82.6
264	50.18
265	92.99
266	4.5
267	172.9
268	99.33
269	154.88
270	45.55
271	20.76
272	31.53
273	199.43
274	177.61
275	45.69
276	74.23
277	180.8
278	40.56
279	147.84
280	146.48
281	197.23
282	155.13
283	51.11
284	23.13
285	152.58
286	131.5
287	123.21
288	135.05
289	28.15
290	106.02
291	8.11
292	88.43
293	41.51
294	2.2
295	3.83
296	134.99
297	174.54
298	171.57
299	32.07
