6000	241
6001	243
6002	245
6003	244
6004	242
6005	241
6006	242
6007	241
6008	242
6009	242
6010	243
6011	243
6012	245
6013	240
6014	242
6015	240
6016	240
6017	241
6018	243
6019	245
6020	242
6021	244
6022	244
6023	240
6024	240
6025	241
6026	245
6027	245
6028	240
6029	242
6030	244
6031	242
6032	241
6033	242
6034	242
6035	240
6036	242
6037	245
6038	243
6039	240
6040	244
6041	245
6042	244
6043	241
6044	243
6045	242
6046	242
6047	243
6048	243
6049	241
6050	240
6051	240
6052	242
6053	240
6054	245
6055	243
6056	240
6057	243
6058	241
6059	241
6060	241
6061	244
6062	243
6063	243
6064	243
6065	243
6066	242
6067	244
6068	245
6069	243
6070	241
6071	245
6072	243
6073	243
6074	241
6075	240
6076	241
6077	245
6078	240
6079	244
6080	241
6081	245
6082	244
6083	240
6084	245
6085	243
6086	241
6087	245
6088	240
6089	243
6090	243
6091	241
6092	243
6093	242
6094	244
6095	242
6096	244
6097	243
6098	241
6099	241
